                       Research (Cts/Temp.) Glow Curve
Sampling Rate is  2 Data Points per Second

File Name:        R&D-033019-jackT-groups-2-1-3 4
Date & Time:     4/1/2019 12:00:20 PM

Sample No.,Barcode,Time ( .5s),Temperature,
Counts
 4 ,N1034   , 187 ,173.97,91
 4 ,N1034   , 187.5 ,174.31,97
 4 ,N1034   , 188 ,174.87,99
 4 ,N1034   , 188.5 ,175.25,97
 4 ,N1034   , 189 ,175.50,99
 4 ,N1034   , 189.5 ,176.00,105
 4 ,N1034   , 190 ,176.33,100
 4 ,N1034   , 190.5 ,177.22,102
 4 ,N1034   , 191 ,177.48,98
 4 ,N1034   , 191.5 ,177.99,104
 4 ,N1034   , 192 ,178.33,103
 4 ,N1034   , 192.5 ,178.55,104
 4 ,N1034   , 193 ,179.03,105
 4 ,N1034   , 193.5 ,179.02,105
 4 ,N1034   , 194 ,178.68,107
 4 ,N1034   , 194.5 ,179.12,105
 4 ,N1034   , 195 ,179.41,106
 4 ,N1034   , 195.5 ,179.61,103
 4 ,N1034   , 196 ,180.41,108
 4 ,N1034   , 196.5 ,181.27,103
 4 ,N1034   , 197 ,181.85,105
 4 ,N1034   , 197.5 ,182.23,107
 4 ,N1034   , 198 ,182.82,105
 4 ,N1034   , 198.5 ,182.88,106
 4 ,N1034   , 199 ,182.92,107
 4 ,N1034   , 199.5 ,182.95,109
 4 ,N1034   , 200 ,183.30,105
 4 ,N1034   , 200.5 ,184.20,107
 4 ,N1034   , 201 ,184.47,110
 4 ,N1034   , 201.5 ,185.31,111
 4 ,N1034   , 202 ,185.54,109
 4 ,N1034   , 202.5 ,186.03,109
 4 ,N1034   , 203 ,187.02,115
 4 ,N1034   , 203.5 ,186.35,112
 4 ,N1034   , 204 ,186.90,113
 4 ,N1034   , 204.5 ,186.93,115
 4 ,N1034   , 205 ,187.62,119
 4 ,N1034   , 205.5 ,187.75,118
 4 ,N1034   , 206 ,187.50,122
 4 ,N1034   , 206.5 ,188.00,122
 4 ,N1034   , 207 ,188.33,127
 4 ,N1034   , 207.5 ,188.56,127
 4 ,N1034   , 208 ,189.37,127
 4 ,N1034   , 208.5 ,189.91,130
 4 ,N1034   , 209 ,189.94,135
 4 ,N1034   , 209.5 ,190.29,137
 4 ,N1034   , 210 ,190.86,137
 4 ,N1034   , 210.5 ,191.24,144
 4 ,N1034   , 211 ,191.49,144
 4 ,N1034   , 211.5 ,191.66,149
 4 ,N1034   , 212 ,192.44,153
 4 ,N1034   , 212.5 ,192.96,153
 4 ,N1034   , 213 ,192.97,161
 4 ,N1034   , 213.5 ,193.32,162
 4 ,N1034   , 214 ,193.88,163
 4 ,N1034   , 214.5 ,194.58,171
 4 ,N1034   , 215 ,194.39,173
 4 ,N1034   , 215.5 ,194.26,179
 4 ,N1034   , 216 ,194.84,183
 4 ,N1034   , 216.5 ,195.89,184
 4 ,N1034   , 217 ,196.26,191
 4 ,N1034   , 217.5 ,196.17,188
 4 ,N1034   , 218 ,196.45,192
 4 ,N1034   , 218.5 ,196.30,193
 4 ,N1034   , 219 ,197.20,197
 4 ,N1034   , 219.5 ,197.47,196
 4 ,N1034   , 220 ,198.31,200
 4 ,N1034   , 220.5 ,198.87,199
 4 ,N1034   , 221 ,198.92,198
 4 ,N1034   , 221.5 ,198.94,198
 4 ,N1034   , 222 ,199.30,202
